timestamp,price,quantity,buyer,seller,spread
2407,100.83,1,48,10,0.8400000000000034
2407,100.83,1,48,5,0.8400000000000034
2408,99.60000000000001,2,9,0,0.8400000000000034
2409,100.83,3,58,5,0.8400000000000034
2412,99.60000000000001,1,9,43,0.8400000000000034
2412,99.60000000000001,2,9,30,0.8400000000000034
2414,99.57000000000001,1,9,51,0.8400000000000034
2415,100.83,1,55,5,0.8400000000000034
2415,100.84,2,55,5,0.8500000000000085
2415,99.57000000000001,3,9,18,0.8500000000000085
2419,100.84,1,17,5,0.8500000000000085
2424,100.84,2,17,5,0.8500000000000085
2424,100.84,1,17,48,0.8500000000000085
2428,99.57000000000001,1,9,15,0.8500000000000085
2431,100.84,2,17,48,0.8500000000000085
2435,99.53,1,10,51,0.8500000000000085
2437,100.84,1,40,48,0.8500000000000085
2437,100.84,1,40,60,0.8500000000000085
2437,100.84,2,40,5,0.8500000000000085
2449,99.53,3,10,15,0.8500000000000085
2449,99.53,1,4,15,0.8500000000000085
2449,99.53,2,4,51,0.8500000000000085
2452,100.84,1,55,5,0.8500000000000085
2456,99.53,2,4,11,0.8500000000000085
2456,99.53,2,8,11,0.8500000000000085
2456,100.84,1,55,5,0.8500000000000085
2457,99.53,2,8,51,0.8500000000000085
2458,99.53,1,8,37,0.8500000000000085
2458,99.53,2,6,37,0.8500000000000085
2461,100.84,1,40,5,0.8500000000000085
2461,100.84,3,40,5,0.8500000000000085
2462,99.53,3,6,51,0.8500000000000085
2462,99.53,1,8,51,0.8500000000000085
2463,100.84,1,44,5,0.8500000000000085
2468,99.53,4,8,30,0.8500000000000085
2468,100.84,1,58,5,0.8500000000000085
2468,100.84,1,58,6,0.8500000000000085
2471,99.53,4,5,38,0.8500000000000085
2472,99.53,1,5,35,0.8500000000000085
2472,99.53,1,5,35,0.8500000000000085
2477,100.84,1,60,6,0.8500000000000085
2477,100.84,3,22,6,0.8500000000000085
2477,100.84,1,22,6,0.8500000000000085
2482,99.53,1,5,43,0.8500000000000085
2485,100.84,2,17,6,0.8500000000000085
2488,99.53,3,5,30,0.8500000000000085
2489,99.53,4,5,13,0.8500000000000085
2499,99.53,1,5,29,0.8500000000000085
2499,99.53,2,5,29,0.8500000000000085
2507,99.53,3,5,51,0.8500000000000085
2513,99.53,3,3,32,0.8500000000000085
2514,99.53,1,3,29,0.8500000000000085
2517,100.84,2,0,6,0.8500000000000085
2527,100.84,1,17,8,0.8500000000000085
2529,99.53,1,3,30,0.8500000000000085
2529,99.53,2,8,30,0.8500000000000085
2534,99.53,2,8,0,0.8500000000000085
2535,100.84,2,0,8,0.8500000000000085
2539,100.84,2,40,8,0.8500000000000085
2539,100.84,1,40,6,0.8500000000000085
2541,100.84,4,55,6,0.8500000000000085
2544,99.53,1,8,21,0.8500000000000085
2558,99.53,1,8,18,0.8500000000000085
2563,100.84,2,0,6,0.8500000000000085
2565,100.84,1,44,6,0.8500000000000085
2567,99.53,1,8,15,0.8500000000000085
2568,100.84,1,40,6,0.8500000000000085
2571,99.53,2,8,0,0.8500000000000085
2571,99.53,1,8,29,0.8500000000000085
2571,99.52,1,38,29,0.8500000000000085
2575,100.84,1,39,6,0.8500000000000085
